type_propriete,quartier,arrondissement,capacite_accueil,salle_de_bain,chambres,lits,prix,nb_commentaires,note_moyenne,nb_mois_en_activite
Complète,Observatoire,75014,2,1.0,,1.0,60.0,9,100.0,34.0
Complète,Hôtel-de-Ville,75004,4,1.0,2.0,2.0,90.0,272,94.0,119.0
Complète,Opéra,75009,2,1.0,1.0,1.0,130.0,6,96.0,64.0
Complète,Popincourt,75011,2,1.0,1.0,1.0,75.0,26,98.0,91.0
Chambre privée,Entrepôt,75010,6,1.0,1.0,3.0,170.0,149,92.0,66.0
Complète,Gobelins,75013,3,1.0,1.0,1.0,110.0,85,98.0,87.0
Complète,Buttes-Montmartre,75018,2,1.0,1.0,1.0,90.0,11,88.0,86.0
Complète,Buttes-Montmartre,75018,2,1.0,,0.0,75.0,200,91.0,95.0
Complète,Gobelins,75013,5,1.0,1.0,3.0,70.0,30,90.0,68.0
Complète,Hôtel-de-Ville,75004,4,1.0,1.0,1.0,78.0,365,92.0,126.0
Chambre privée,Luxembourg,75006,4,1.5,1.0,2.0,66.0,88,98.0,131.0
Complète,Opéra,75009,3,1.0,2.0,2.0,110.0,3,80.0,99.0
Chambre privée,Opéra,75009,1,1.5,1.0,1.0,65.0,126,95.0,110.0
Complète,Louvre,75001,2,1.5,1.0,1.0,250.0,163,93.0,134.0
Chambre privée,Buttes-Montmartre,75018,1,1.0,1.0,1.0,85.0,32,80.0,73.0
Complète,Opéra,75009,2,1.0,,1.0,59.0,88,88.0,117.0
Complète,Palais-Bourbon,75007,4,1.0,1.0,2.0,134.0,219,92.0,114.0
Complète,Reuilly,75012,5,1.0,2.0,3.0,197.0,101,96.0,132.0
Complète,Popincourt,75011,5,1.5,2.0,3.0,80.0,21,96.0,115.0
Complète,Bourse,75002,2,1.0,1.0,1.0,65.0,81,91.0,125.0
Complète,Bourse,75002,2,1.0,1.0,2.0,64.0,133,88.0,94.0
Complète,Ménilmontant,75020,5,1.0,2.0,4.0,120.0,7,91.0,25.0
Complète,Batignolles-Monceau,75017,2,1.0,2.0,2.0,49.0,9,80.0,56.0
Chambre privée,Ménilmontant,75020,2,1.0,1.0,1.0,50.0,10,94.0,32.0
Complète,Ménilmontant,75020,4,1.0,1.0,2.0,75.0,17,98.0,28.0
Complète,Batignolles-Monceau,75017,4,1.0,1.0,2.0,115.0,1,100.0,0.0
Chambre privée,Popincourt,75011,2,1.0,1.0,0.0,42.0,20,93.0,94.0
Complète,Gobelins,75013,4,1.5,2.0,2.0,80.0,144,94.0,107.0
Complète,Bourse,75002,2,1.0,1.0,1.0,85.0,68,96.0,86.0
Complète,Batignolles-Monceau,75017,4,1.0,2.0,4.0,105.0,9,90.0,42.0
Complète,Hôtel-de-Ville,75004,3,1.0,1.0,2.0,123.0,78,95.0,124.0
Complète,Opéra,75009,2,1.0,1.0,2.0,57.0,103,95.0,97.0
Complète,Buttes-Chaumont,75019,4,1.5,1.0,3.0,78.0,55,97.0,115.0
Complète,Batignolles-Monceau,75017,4,1.0,1.0,2.0,150.0,64,90.0,105.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,50.0,8,74.0,70.0
Chambre privée,Buttes-Montmartre,75018,2,1.0,1.0,1.0,36.0,58,92.0,106.0
Complète,Buttes-Montmartre,75018,4,2.5,2.0,3.0,143.0,19,98.0,122.0
Complète,Popincourt,75011,3,1.5,2.0,0.0,130.0,15,84.0,68.0
Complète,Buttes-Montmartre,75018,3,1.0,1.0,1.0,72.0,41,99.0,55.0
Complète,Opéra,75009,3,1.0,1.0,1.0,110.0,62,97.0,115.0
Complète,Élysée,75008,4,2.0,1.0,1.0,424.0,17,100.0,94.0
Complète,Buttes-Chaumont,75019,4,1.0,1.0,2.0,130.0,18,97.0,87.0
Complète,Buttes-Chaumont,75019,4,1.0,2.0,2.0,150.0,29,95.0,76.0
Complète,Entrepôt,75010,2,1.0,1.0,1.0,108.0,99,96.0,108.0
Complète,Panthéon,75005,4,1.0,1.0,1.0,100.0,143,96.0,109.0
Complète,Buttes-Chaumont,75019,2,1.0,1.0,2.0,60.0,3,100.0,11.0
Complète,Louvre,75001,2,1.0,,1.0,95.0,201,93.0,114.0
Complète,Temple,75003,3,1.5,1.0,2.0,139.0,123,97.0,108.0
